Request: 2022-07-06T10:55:13.688Z | [ 455e13bd-575b-4908-a25d-19ebfc49c8da ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:17.088Z | [ 3d94576b-c25d-45eb-8886-e3bb8c4c31dd ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:17.121Z | [ 1ccbfe11-d043-47ad-8448-87d4a6b763ed ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:25.129Z | [ 17cd8804-c7cb-4ef0-8bac-e9cb559c984c ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:32.029Z | [ 033975e4-1f5f-4e5a-b7ae-1deb91f18a85 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:36.410Z | [ a0653e33-bd24-4c6f-bfd0-efac83a61694 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:42.769Z | [ 5c4a8c4b-0efd-4206-9bae-57182a5f8c2c ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:49.170Z | [ eb0b6f10-87e8-4c52-900c-b079df7b35d3 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:49.205Z | [ 59633515-9c79-423a-a6f4-fd4041b25e5a ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:55:56.609Z | [ ded5bba9-29bd-48cd-81f6-f772386eb8bd ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:56:01.449Z | [ a15bc1db-eadf-49f9-9ca9-980995b55816 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:56:05.915Z | [ e608ec99-1d89-4f48-b483-7ca9aafd60c6 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T10:56:12.026Z | [ 58425686-c0c5-4f57-821b-a65dee3995bb ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/playVideo | videoStreaming playVideo route
Request: 2022-07-06T11:12:46.891Z | [ 2899bb28-983e-44d1-8a08-945912d8c5d9 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoUpload/v1/route.js/videoUpload/home | videoUpload home frontend route
Request: 2022-07-06T11:19:57.427Z | [ 853f0c6c-7910-422c-9d57-308266779229 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoUpload/v1/route.js/videoUpload/home | videoUpload home frontend route
Request: 2022-07-06T11:20:30.372Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-06T11:20:47.870Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-06T12:35:57.111Z | [ f46535fd-948b-46ec-a8a5-d24c4a610274 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoUpload/v1/route.js/videoUpload/home | videoUpload home frontend route
Request: 2022-07-07T04:50:08.284Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T04:50:12.942Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T04:53:48.387Z | [ ac759018-e76b-43fa-8316-868ed4df67ad ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:54:16.128Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T04:54:16.548Z | [ 2f62703f-66b4-4174-9522-a342c2d6c054 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:54:17.931Z | [ db6cbafe-66df-4520-a8f0-23c5f471163f ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:54:25.673Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T04:54:28.366Z | [ 1ff2369f-afb6-4ff6-bb99-9f85760eca96 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T04:54:28.446Z | [ 59befbb5-281d-457d-b1fb-57c31df1acb6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:55:13.889Z | [ c45302ec-84ee-4dd3-ba59-016ac71a6c65 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoUpload/v1/route.js/videoUpload/home | videoUpload home frontend route
Request: 2022-07-07T04:55:30.365Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T04:55:40.610Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T04:55:41.190Z | [ b2c5eb59-1a6b-4805-bda4-7f739885a398 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:55:47.704Z | [ 9ab2ac10-9228-4a36-b5d1-a58aafda4ce3 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T04:55:47.791Z | [ 7f7f4945-8fd9-4f5d-8f2c-7be7a0d03a1d ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/app.js | Invalid url
Request: 2022-07-07T04:58:42.561Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T04:58:48.042Z | [ ab9add0c-b443-4a03-b860-560b46dc68c7 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T04:59:04.880Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T04:59:12.977Z | [ cb2994a0-3ef1-4248-bd03-3b3d83ead808 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T04:59:14.337Z | [ af3ddf83-18bb-4b6a-bdb6-5d2972d88abb ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T04:59:14.695Z | [ d59becfc-5f95-49fb-9d4c-c4c179be1acd ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:00:18.078Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:00:20.530Z | [ 23e2d1b3-9fed-4be1-9736-f03ef1f4cdd5 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:00:22.731Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:00:36.640Z | [ 7d060127-7d21-4606-a99b-1537db8c734b ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:01:12.502Z | [ ec21c1ba-408e-4720-a660-7f59ef645c35 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:01:15.521Z | [ d116920e-47f1-421f-bab2-80b1e9cf78a3 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:02:57.083Z | [ 3c89ccb8-f416-4919-8871-0b3d84272ecf ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:06:41.298Z | [ 7de9f258-9013-45ab-bd18-77759f809ab1 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:08:06.023Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:08:15.480Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:08:34.932Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:09:08.563Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:09:27.691Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:09:32.007Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:09:36.007Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:10:03.936Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:10:33.383Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:10:36.388Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:11:00.744Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:11:03.745Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:11:25.303Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:11:59.474Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:12:28.686Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:12:46.592Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:12:48.716Z | [ ca2e053b-9261-4c38-a0fb-547e90d47a80 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:12:48.836Z | [ ca2e053b-9261-4c38-a0fb-547e90d47a80 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Table 'smart_tube.videos' doesn't exist
Request: 2022-07-07T05:12:49.760Z | [ 1b2132bd-b4fc-4975-95c1-0f6460c823d0 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:12:49.778Z | [ 1b2132bd-b4fc-4975-95c1-0f6460c823d0 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Table 'smart_tube.videos' doesn't exist
Request: 2022-07-07T05:12:50.047Z | [ de43a328-913c-420f-8ce5-dc836f0cc7d0 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:12:50.052Z | [ de43a328-913c-420f-8ce5-dc836f0cc7d0 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Table 'smart_tube.videos' doesn't exist
Request: 2022-07-07T05:12:50.479Z | [ 6d6a2d17-de30-45e4-bf01-eee75158ce8a ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:12:50.487Z | [ 6d6a2d17-de30-45e4-bf01-eee75158ce8a ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Table 'smart_tube.videos' doesn't exist
Request: 2022-07-07T05:13:10.235Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:13:12.228Z | [ 62e4f72f-009a-4c69-9841-b3e3512f7110 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:13:12.344Z | [ 62e4f72f-009a-4c69-9841-b3e3512f7110 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Unknown column 'login_time' in 'field list'
Request: 2022-07-07T05:13:14.168Z | [ 45206f1c-73d5-4c80-9c3e-a1c4ac9ca27d ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:13:14.173Z | [ 45206f1c-73d5-4c80-9c3e-a1c4ac9ca27d ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Unknown column 'login_time' in 'field list'
Request: 2022-07-07T05:13:27.436Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:13:42.467Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:13:43.259Z | [ 5cfc6ec0-6bfe-4e43-93fe-5dac3364e6b6 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:13:43.394Z | [ 5cfc6ec0-6bfe-4e43-93fe-5dac3364e6b6 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Unknown column 'login_time' in 'field list'
Request: 2022-07-07T05:14:04.266Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:14:05.810Z | [ 3f17a804-b0e3-4630-b8d7-5bbbefb18fec ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:14:05.882Z | [ 3f17a804-b0e3-4630-b8d7-5bbbefb18fec ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | SequelizeDatabaseError: Unknown column 'login_time' in 'field list'
Request: 2022-07-07T05:14:40.805Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:14:41.057Z | [ 5b8d17db-197e-42ac-9689-be751743a4dc ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:14:41.126Z | [ 5b8d17db-197e-42ac-9689-be751743a4dc ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:14:42.070Z | [ 75bb2498-c6ae-4c6c-9ffa-a54c13adddae ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:14:42.076Z | [ 75bb2498-c6ae-4c6c-9ffa-a54c13adddae ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:14:42.621Z | [ 6f6c150e-6b29-498d-8fda-eeafcfae75bd ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:14:42.627Z | [ 6f6c150e-6b29-498d-8fda-eeafcfae75bd ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:15:13.375Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:15:14.246Z | [ ec1b9447-40ad-482c-a392-e1347151481a ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:15:14.295Z | [ ec1b9447-40ad-482c-a392-e1347151481a ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:15:18.043Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:15:20.688Z | [ 8b9e89f4-5a0c-49a0-a7d2-0487a949029f ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:15:20.758Z | [ 8b9e89f4-5a0c-49a0-a7d2-0487a949029f ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:15:58.719Z | [ 6ee592ab-8b1a-4d21-97a3-9c5db3439cf5 ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:15:58.736Z | [ 6ee592ab-8b1a-4d21-97a3-9c5db3439cf5 ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:15:59.506Z | [ f862481f-9667-4000-b7be-5a5a54bb6a6a ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:15:59.511Z | [ f862481f-9667-4000-b7be-5a5a54bb6a6a ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
Request: 2022-07-07T05:16:37.532Z | [ server Initialize ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/server.js | Server is running on 7000
Request: 2022-07-07T05:16:38.089Z | [ 417643c2-ffe6-4db3-8938-5c24e3e0de9b ] | info | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/v1/route.js/videoStreaming/home | videoStreaming home frontend route
Request: 2022-07-07T05:16:38.170Z | [ 417643c2-ffe6-4db3-8938-5c24e3e0de9b ] | error | /home/umesh/My_Work/POC/Video_streaming_poc/build/component/videoStreaming/models/model.js/videoPublicModelsClass/getManyVideo | TypeError: Class constructor Model cannot be invoked without 'new'
